,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Brand
27,A1,2018,15800,Manual,10793,Petrol,145,56.5,1.4,Audi
28,A4,2018,17200,Automatic,25138,Diesel,145,70.6,2.0,Audi
29,A6,2015,14000,Manual,61176,Diesel,30,62.8,2.0,Audi
30,A1,2015,9500,Automatic,54754,Diesel,0,76.3,1.6,Audi
31,Q3,2017,16500,Manual,21369,Petrol,125,51.4,1.4,Audi
32,Q3,2014,15000,Automatic,39190,Diesel,205,47.9,2.0,Audi
33,Q3,2017,16000,Automatic,47482,Petrol,150,47.9,1.4,Audi
34,Q3,2016,16900,Automatic,40501,Diesel,150,51.4,2.0,Audi
35,Q3,2014,12300,Automatic,43195,Diesel,200,47.9,2.0,Audi
36,A1,2017,10800,Manual,31447,Petrol,145,67.3,1.0,Audi
37,A6,2016,19400,Automatic,34030,Diesel,125,58.9,2.0,Audi
38,A4,2017,16000,Manual,29063,Diesel,145,70.6,2.0,Audi
39,A3,2017,17100,Manual,29545,Diesel,145,65.7,2.0,Audi
40,A3,2015,11300,Manual,75619,Diesel,20,68.9,2.0,Audi
41,Q3,2016,17200,Automatic,39603,Diesel,160,50.4,2.0,Audi
42,Q3,2017,20300,Automatic,42908,Diesel,145,51.4,2.0,Audi
43,A5,2014,13200,Automatic,83872,Diesel,125,58.9,2.0,Audi
44,Q3,2016,15200,Automatic,58750,Petrol,145,47.9,1.4,Audi
45,A3,2019,15700,Manual,2029,Petrol,145,49.6,1.0,Audi
46,A6,2018,16600,Automatic,22958,Petrol,145,50.4,1.8,Audi
47,A4,2017,14400,Automatic,32097,Diesel,145,72.4,2.0,Audi
48,A5,2017,20200,Automatic,13057,Petrol,145,53.3,2.0,Audi
49,S4,2017,23700,Automatic,20278,Petrol,145,38.7,3.0,Audi
50,A4,2016,12750,Manual,52561,Diesel,0,74.3,2.0,Audi
51,A6,2015,13000,Automatic,31604,Diesel,20,67.3,2.0,Audi
52,Q3,2016,15900,Manual,32011,Petrol,145,49.6,1.4,Audi
53,Q3,2016,15000,Manual,39134,Diesel,30,60.1,2.0,Audi
54,Q5,2015,14700,Automatic,89483,Diesel,205,47.1,2.0,Audi
55,A3,2015,15000,Automatic,56291,Petrol,200,42.8,1.8,Audi
56,A6,2016,16000,Automatic,47767,Diesel,20,61.4,2.0,Audi
57,A1,2014,11000,Manual,34315,Petrol,125,53.3,1.4,Audi
58,A3,2016,10200,Manual,66369,Diesel,0,83.1,1.6,Audi
59,A6,2016,18500,Manual,34110,Diesel,30,61.4,2.0,Audi
60,A1,2013,7000,Manual,76269,Diesel,0,74.3,1.6,Audi
61,A3,2016,10600,Manual,37840,Diesel,20,70.6,1.6,Audi
62,A3,2017,16000,Manual,26249,Diesel,30,67.3,1.6,Audi
63,Q3,2017,15000,Manual,44898,Diesel,125,57.7,2.0,Audi
64,Q3,2017,14000,Manual,67161,Petrol,150,51.4,1.4,Audi
65,A3,2018,18950,Manual,17992,Petrol,150,54.3,1.5,Audi
66,A4,2016,10200,Manual,97440,Diesel,20,70.6,2.0,Audi
67,A1,2017,11700,Manual,19268,Petrol,150,67.3,1.0,Audi
68,A3,2013,11500,Automatic,51441,Petrol,125,50.4,1.8,Audi
69,A1,2016,10800,Manual,18181,Petrol,0,67.3,1.0,Audi
70,A3,2016,12500,Manual,19494,Diesel,30,67.3,2.0,Audi
71,A6,2016,16600,Manual,32808,Diesel,30,61.4,2.0,Audi
72,A3,2017,13100,Manual,25965,Diesel,145,65.7,2.0,Audi
73,A3,2016,8300,Manual,88215,Diesel,20,68.9,2.0,Audi
74,A3,2019,16000,Manual,5704,Petrol,145,49.6,1.0,Audi
75,A4,2017,16900,Manual,10959,Petrol,145,51.4,1.4,Audi
76,Q5,2016,19600,Automatic,30201,Diesel,200,47.1,2.0,Audi
77,Q3,2017,21800,Automatic,19319,Petrol,145,40.4,2.0,Audi
78,A6,2017,16200,Manual,22582,Diesel,145,61.4,2.0,Audi
79,A5,2017,18700,Manual,20052,Petrol,145,49.6,2.0,Audi
80,Q3,2016,16100,Manual,16666,Diesel,30,60.1,2.0,Audi
81,A3,2016,11300,Manual,25626,Diesel,0,74.3,1.6,Audi
82,A3,2016,14100,Manual,10460,Petrol,20,60.1,1.4,Audi
83,A6,2016,16600,Automatic,43307,Diesel,125,57.6,2.0,Audi
84,A1,2017,11300,Manual,29327,Petrol,30,55.4,1.4,Audi
85,Q3,2017,15600,Manual,36714,Petrol,125,51.4,1.4,Audi
86,A1,2014,10000,Manual,28324,Petrol,125,53.3,1.4,Audi
87,A1,2016,14500,Manual,12100,Petrol,30,56.5,1.4,Audi
88,Q3,2017,16100,Manual,18001,Diesel,145,62.8,2.0,Audi
89,A1,2016,10600,Manual,28760,Petrol,30,55.4,1.4,Audi
90,A3,2019,25499,Semi-Auto,4000,Petrol,145,44.1,1.5,Audi
91,Q2,2019,25499,Semi-Auto,7897,Diesel,145,47.9,2.0,Audi
92,A6,2016,15500,Automatic,24744,Diesel,125,56.5,3.0,Audi
93,Q3,2015,16200,Automatic,30075,Diesel,160,51.4,2.0,Audi
94,A1,2017,14000,Manual,12577,Petrol,30,58.9,1.4,Audi
95,A6,2016,17300,Automatic,24421,Diesel,30,61.4,2.0,Audi
96,A1,2016,10600,Manual,15567,Diesel,0,76.3,1.6,Audi
97,A4,2018,17500,Manual,15207,Petrol,145,51.4,1.4,Audi
98,A4,2017,15000,Manual,14864,Petrol,145,52.3,1.4,Audi
99,A4,2019,25499,Semi-Auto,9000,Petrol,145,38.7,2.0,Audi
100,A4,2019,25000,Manual,5000,Petrol,145,38.7,2.0,Audi
101,Q2,2019,31000,Semi-Auto,4264,Petrol,145,33.2,2.0,Audi
102,Q3,2019,28000,Manual,4000,Diesel,145,42.8,2.0,Audi
103,Q3,2019,28000,Manual,4000,Petrol,145,42.2,1.5,Audi
104,Q2,2019,21499,Manual,2721,Diesel,145,49.6,1.6,Audi
105,Q2,2019,26000,Semi-Auto,4000,Petrol,145,42.2,1.5,Audi
106,Q5,2016,30000,Semi-Auto,49649,Diesel,235,42.2,3.0,Audi
107,A4,2017,17000,Manual,14068,Petrol,145,51.4,1.4,Audi
108,A4,2017,14500,Manual,23092,Petrol,145,52.3,1.4,Audi
109,Q3,2017,17500,Automatic,30682,Diesel,160,50.4,2.0,Audi
110,A1,2016,10500,Manual,18272,Petrol,0,67.3,1.0,Audi
111,Q2,2017,14800,Automatic,23714,Diesel,145,68.9,1.6,Audi
112,A6,2016,12000,Automatic,71311,Diesel,30,61.4,2.0,Audi
113,A6,2018,22000,Automatic,29477,Diesel,145,61.4,2.0,Audi
114,Q5,2016,17800,Automatic,60551,Diesel,200,47.1,2.0,Audi
115,A6,2017,19800,Automatic,42071,Diesel,30,61.4,2.0,Audi
116,A7,2014,19500,Automatic,55774,Diesel,235,44.8,3.0,Audi
117,A1,2016,9800,Manual,36462,Diesel,0,76.3,1.6,Audi
118,A3,2016,15500,Manual,25376,Petrol,30,57.6,1.4,Audi
119,A4,2017,16800,Automatic,39388,Diesel,145,67.3,2.0,Audi
120,A3,2017,11500,Manual,64207,Diesel,20,67.3,2.0,Audi
121,A1,2017,12100,Manual,49221,Petrol,145,55.4,1.4,Audi
122,A1,2017,12700,Manual,27179,Diesel,0,76.3,1.6,Audi
123,A4,2014,11700,Manual,31376,Diesel,125,58.9,2.0,Audi
124,A5,2015,11500,Automatic,62668,Diesel,145,53.3,2.0,Audi
125,A4,2017,17400,Manual,10001,Petrol,145,51.4,1.4,Audi
126,A6,2016,16000,Automatic,52544,Diesel,30,61.4,2.0,Audi
127,A4,2016,13100,Manual,63097,Petrol,125,49.6,2.0,Audi
128,A6,2016,14700,Manual,72967,Diesel,30,61.4,2.0,Audi
129,A5,2017,21100,Automatic,32771,Diesel,145,70.6,2.0,Audi
130,Q3,2018,24400,Automatic,13303,Petrol,145,40.4,2.0,Audi
131,A3,2019,18750,Manual,2752,Petrol,145,44.8,1.5,Audi
132,Q3,2016,16500,Manual,23307,Diesel,160,49.6,2.0,Audi
133,A1,2017,11000,Manual,34551,Petrol,150,67.3,1.0,Audi
134,A3,2017,13400,Manual,25457,Diesel,150,68.9,1.6,Audi
135,Q2,2018,20000,Manual,12167,Petrol,150,50.4,1.4,Audi
136,A6,2015,15400,Automatic,23237,Diesel,20,67.3,2.0,Audi
137,Q3,2016,15500,Automatic,11863,Diesel,160,50.4,2.0,Audi
138,A4,2017,14800,Manual,21225,Diesel,145,72.4,2.0,Audi
139,A6,2015,17100,Automatic,32083,Diesel,30,61.4,2.0,Audi
140,Q5,2017,25750,Automatic,17039,Diesel,145,55.4,2.0,Audi
141,A4,2016,11750,Manual,72026,Diesel,0,74.3,2.0,Audi
142,A1,2017,11200,Manual,34824,Petrol,0,67.3,1.0,Audi
143,A1,2017,12800,Manual,20351,Petrol,30,55.4,1.4,Audi
144,A4,2017,16000,Automatic,58028,Petrol,145,52.3,2.0,Audi
145,A5,2017,20000,Automatic,44783,Diesel,145,62.8,2.0,Audi
146,A4,2014,11950,Manual,60604,Diesel,20,67.3,2.0,Audi
147,A4,2013,9400,Manual,39998,Diesel,30,65.7,2.0,Audi
148,A4,2017,20000,Automatic,20852,Diesel,30,65.7,2.0,Audi
149,A6,2016,13300,Manual,79728,Diesel,30,64.2,2.0,Audi
150,A6,2017,18500,Automatic,29095,Diesel,20,64.2,2.0,Audi
151,A3,2013,8300,Manual,98940,Diesel,0,74.3,1.6,Audi
152,A1,2016,13500,Manual,22780,Petrol,30,58.9,1.4,Audi
153,A5,2018,19800,Manual,20832,Petrol,150,47.1,2.0,Audi
154,Q3,2016,15400,Automatic,29196,Diesel,145,55.4,2.0,Audi
155,A4,2017,13900,Manual,14392,Petrol,145,53.3,1.4,Audi
156,A4,2018,15600,Manual,20070,Petrol,145,52.3,1.4,Audi
157,A6,2016,16200,Automatic,89334,Diesel,30,62.8,3.0,Audi
158,A1,2016,10600,Manual,21428,Petrol,0,67.3,1.0,Audi
159,A4,2016,14300,Manual,45485,Diesel,20,70.6,2.0,Audi
160,Q3,2016,14700,Manual,32704,Diesel,30,60.1,2.0,Audi
161,Q3,2018,19100,Automatic,42209,Petrol,145,42.2,2.0,Audi
162,A4,2017,18100,Manual,17278,Petrol,145,48.7,1.4,Audi
163,A1,2017,11400,Manual,29515,Petrol,0,67.3,1.0,Audi
164,A3,2014,11600,Manual,43662,Diesel,20,67.3,2.0,Audi
165,A4,2017,17300,Automatic,45225,Diesel,145,62.8,2.0,Audi
166,A6,2017,16400,Manual,45491,Diesel,30,61.4,2.0,Audi
167,Q5,2014,17100,Manual,52267,Petrol,235,37.7,2.0,Audi
168,A3,2014,11498,Semi-Auto,40807,Petrol,125,50.4,1.8,Audi
169,Q3,2014,11698,Manual,65959,Diesel,160,49.6,2.0,Audi
170,Q5,2014,18998,Semi-Auto,47648,Petrol,260,35.8,2.0,Audi
171,Q5,2017,25498,Semi-Auto,27948,Petrol,145,40.9,2.0,Audi
172,A4,2013,10498,Manual,31169,Petrol,145,49.6,1.8,Audi
173,A4,2013,9498,Automatic,42011,Petrol,145,47.1,2.0,Audi
174,A6,2015,19998,Semi-Auto,56115,Diesel,160,50.4,3.0,Audi
175,A6,2015,16798,Semi-Auto,65835,Diesel,125,61.4,2.0,Audi
176,A6,2017,23998,Semi-Auto,63383,Diesel,145,45.6,3.0,Audi
177,Q5,2017,36998,Semi-Auto,34011,Petrol,145,34.0,3.0,Audi
178,A5,2014,13998,Semi-Auto,52132,Diesel,160,49.6,3.0,Audi
179,A4,2015,15995,Manual,38787,Diesel,145,55.4,2.0,Audi
180,A1,2017,13495,Manual,34554,Petrol,150,55.4,1.4,Audi
181,Q5,2017,30985,Semi-Auto,17502,Petrol,145,40.4,2.0,Audi
182,TT,2019,29485,Automatic,3000,Petrol,145,40.9,2.0,Audi
183,A6,2015,16985,Manual,34646,Diesel,30,61.4,2.0,Audi
184,Q5,2017,26485,Semi-Auto,18000,Diesel,150,56.5,2.0,Audi
185,Q3,2018,23985,Semi-Auto,17085,Petrol,150,47.9,1.4,Audi
186,A1,2017,12485,Manual,48166,Diesel,20,72.4,1.6,Audi
187,Q5,2015,22485,Semi-Auto,38421,Diesel,205,47.1,2.0,Audi
188,A5,2015,16498,Manual,46637,Diesel,30,61.4,2.0,Audi
189,A3,2016,11998,Manual,24468,Diesel,0,74.3,1.6,Audi
190,Q5,2017,24985,Automatic,29343,Diesel,200,47.1,2.0,Audi
191,A3,2019,17985,Manual,8449,Diesel,145,51.4,1.6,Audi
192,A5,2017,20485,Manual,34679,Diesel,30,65.7,2.0,Audi
193,A3,2018,16985,Semi-Auto,23860,Petrol,145,60.1,1.0,Audi
194,A4,2018,30985,Automatic,21009,Petrol,145,35.8,3.0,Audi
195,A6,2019,29985,Automatic,1881,Diesel,145,47.9,2.0,Audi
196,A6,2019,27985,Semi-Auto,688,Diesel,145,47.9,2.0,Audi
197,A6,2019,30985,Automatic,1863,Diesel,145,47.9,2.0,Audi
198,Q7,2020,62985,Semi-Auto,10,Diesel,145,33.2,3.0,Audi
199,RS6,2016,44985,Semi-Auto,49050,Petrol,325,29.4,4.0,Audi
200,A4,2019,28985,Semi-Auto,1024,Petrol,145,38.7,2.0,Audi
201,A4,2019,24985,Semi-Auto,448,Petrol,145,39.8,2.0,Audi
202,A4,2019,26985,Semi-Auto,476,Petrol,145,39.2,2.0,Audi
203,A7,2019,39985,Automatic,5201,Diesel,145,38.7,3.0,Audi
204,A3,2019,21985,Semi-Auto,2028,Petrol,145,42.2,1.5,Audi
205,A6,2019,45485,Automatic,3241,Diesel,145,39.2,3.0,Audi
206,Q5,2019,33985,Automatic,355,Diesel,145,39.2,2.0,Audi
207,A5,2019,28985,Automatic,18,Petrol,145,39.8,2.0,Audi
208,A3,2019,29985,Automatic,3122,Petrol,145,41.5,1.5,Audi
209,Q2,2019,28985,Manual,824,Petrol,145,40.9,1.5,Audi
210,A6,2019,31985,Semi-Auto,2811,Diesel,145,47.9,2.0,Audi
211,A6,2019,31985,Semi-Auto,27,Diesel,145,50.4,2.0,Audi
212,A4,2019,29485,Semi-Auto,4254,Petrol,145,38.2,2.0,Audi
213,A1,2019,17985,Semi-Auto,2252,Petrol,145,48.7,1.0,Audi
214,Q2,2019,20985,Automatic,3422,Diesel,145,47.9,1.6,Audi
215,Q2,2019,23685,Automatic,37,Diesel,145,47.9,1.6,Audi
216,A4,2019,27985,Semi-Auto,7299,Petrol,145,38.2,2.0,Audi
217,Q2,2019,27985,Semi-Auto,1414,Petrol,145,40.9,1.5,Audi
218,Q5,2019,36985,Automatic,5135,Diesel,145,38.2,2.0,Audi
219,Q5,2019,37985,Automatic,6024,Diesel,145,38.2,2.0,Audi
220,Q5,2020,37985,Semi-Auto,10,Petrol,145,32.1,2.0,Audi
221,Q7,2019,49985,Automatic,10,Diesel,145,33.2,3.0,Audi
222,Q7,2019,59995,Automatic,10,Diesel,145,33.2,3.0,Audi
223,Q5,2020,47895,Semi-Auto,10,Petrol,145,30.7,2.0,Audi
224,A4,2020,31985,Semi-Auto,10,Petrol,145,42.2,2.0,Audi
225,Q7,2015,29985,Automatic,47606,Diesel,200,47.9,3.0,Audi
226,A1,2015,12485,Semi-Auto,26625,Petrol,30,57.6,1.4,Audi
227,A5,2018,24985,Automatic,5071,Petrol,145,50.4,2.0,Audi
228,A5,2015,21985,Semi-Auto,28011,Petrol,260,34.9,3.0,Audi
229,Q3,2019,34985,Automatic,10,Diesel,145,47.1,2.0,Audi
230,A5,2019,29985,Automatic,10,Diesel,145,51.4,2.0,Audi
231,Q3,2019,34485,Automatic,10,Diesel,145,47.1,2.0,Audi
232,A1,2019,19685,Manual,10,Petrol,145,49.6,1.0,Audi
233,A4,2019,34985,Automatic,10,Diesel,145,53.3,2.0,Audi
234,A7,2019,43885,Semi-Auto,10,Diesel,145,38.2,3.0,Audi
235,A6,2019,35895,Automatic,2000,Diesel,145,47.9,2.0,Audi
236,Q2,2019,26985,Automatic,10,Petrol,145,43.5,1.5,Audi
237,A6,2019,46985,Automatic,3510,Diesel,145,36.2,3.0,Audi
238,A3,2019,23985,Automatic,10,Petrol,145,44.8,1.5,Audi
239,A5,2019,28985,Automatic,10,Petrol,145,39.8,2.0,Audi
240,A5,2019,27985,Automatic,1010,Petrol,145,39.8,2.0,Audi
241,A6,2019,28985,Semi-Auto,500,Diesel,145,47.9,2.0,Audi
242,A4,2019,29985,Automatic,10,Petrol,145,42.8,2.0,Audi
243,A3,2019,21995,Manual,10,Diesel,145,54.3,1.6,Audi
244,A5,2019,31985,Automatic,10,Petrol,145,39.8,2.0,Audi
245,A5,2019,32485,Automatic,10,Diesel,145,51.4,2.0,Audi
246,A3,2019,21285,Manual,10,Diesel,145,51.4,1.6,Audi
247,Q7,2019,56985,Automatic,1510,Diesel,145,33.2,3.0,Audi
248,RS3,2019,43785,Semi-Auto,10,Petrol,145,30.1,2.5,Audi
249,A4,2016,18498,Semi-Auto,29845,Petrol,160,45.6,2.0,Audi
250,A3,2014,14995,Semi-Auto,27355,Petrol,160,42.8,1.8,Audi
251,A4,2016,17998,Manual,20885,Diesel,30,64.2,2.0,Audi
252,A3,2014,10985,Automatic,10534,Petrol,30,56.5,1.2,Audi
253,A3,2016,12995,Manual,25895,Diesel,20,70.6,2.0,Audi
254,A1,2016,11495,Manual,32867,Petrol,0,67.3,1.0,Audi
255,Q5,2015,18295,Semi-Auto,42793,Diesel,205,47.1,2.0,Audi
256,A6,2015,18998,Semi-Auto,49039,Diesel,160,50.4,3.0,Audi
257,Q2,2017,18485,Manual,22501,Diesel,145,64.2,1.6,Audi
258,A8,2017,38985,Automatic,1420,Diesel,145,50.4,3.0,Audi
259,A5,2019,29485,Automatic,10,Petrol,145,40.4,2.0,Audi
260,A5,2017,22998,Semi-Auto,26939,Diesel,145,62.8,2.0,Audi
261,A8,2014,18998,Semi-Auto,24786,Diesel,205,47.9,3.0,Audi
262,A4,2017,17698,Manual,18761,Petrol,145,51.4,1.4,Audi
263,A5,2019,27995,Automatic,10,Petrol,145,40.4,2.0,Audi
264,Q3,2019,31985,Manual,10,Diesel,145,42.8,2.0,Audi
265,A4,2019,30995,Automatic,10,Petrol,145,38.7,2.0,Audi
266,A3,2017,18998,Semi-Auto,22295,Petrol,30,56.5,1.4,Audi
267,Q2,2017,16995,Manual,18068,Petrol,145,52.3,1.4,Audi
268,A3,2018,19995,Manual,25000,Petrol,150,42.2,1.5,Audi
269,Q2,2017,14495,Manual,23043,Petrol,150,55.4,1.0,Audi
270,A5,2014,12998,Semi-Auto,80902,Diesel,125,60.1,2.0,Audi
271,A4,2019,32485,Automatic,10,Diesel,145,50.4,2.0,Audi
272,A1,2019,20485,Manual,10,Petrol,145,48.7,1.0,Audi
273,Q3,2019,34485,Automatic,10,Diesel,145,47.1,2.0,Audi
274,Q3,2016,18698,Manual,26474,Diesel,145,52.3,2.0,Audi
275,Q5,2013,15998,Semi-Auto,65458,Diesel,235,44.1,3.0,Audi
276,TT,2018,16498,Manual,34170,Petrol,150,47.1,1.8,Audi
277,Q5,2019,31998,Semi-Auto,100,Petrol,145,33.2,2.0,Audi
278,Q3,2019,35985,Automatic,650,Diesel,145,47.1,2.0,Audi
279,Q5,2019,37985,Automatic,10,Diesel,145,38.2,2.0,Audi
280,Q5,2019,31998,Semi-Auto,10,Petrol,145,33.2,2.0,Audi
281,A4,2019,18998,Manual,2928,Petrol,145,41.5,2.0,Audi
282,Q3,2018,19485,Manual,7157,Petrol,145,51.4,1.4,Audi
283,Q3,2016,19995,Semi-Auto,31600,Diesel,160,50.4,2.0,Audi
284,Q7,2016,47995,Semi-Auto,46600,Diesel,300,39.2,4.0,Audi
285,A3,2019,23485,Manual,10,Diesel,145,56.5,2.0,Audi
286,A5,2018,23998,Semi-Auto,14078,Petrol,145,45.6,2.0,Audi
287,A5,2015,17998,Manual,13312,Diesel,125,57.6,2.0,Audi
288,A6,2018,28985,Semi-Auto,10,Diesel,145,50.4,2.0,Audi
289,RS6,2015,46000,Semi-Auto,20982,Petrol,325,29.4,4.0,Audi
290,A6,2018,26995,Semi-Auto,15600,Diesel,145,50.4,2.0,Audi
291,A6,2019,33985,Automatic,5429,Diesel,145,47.9,2.0,Audi
292,Q2,2019,30985,Automatic,2710,Petrol,145,40.9,1.5,Audi
293,Q7,2019,52985,Automatic,6423,Diesel,145,33.2,3.0,Audi
294,A1,2017,12698,Manual,11017,Petrol,150,67.3,1.0,Audi
295,Q3,2017,17298,Manual,16908,Petrol,125,51.4,1.4,Audi
296,A4,2017,16498,Manual,28801,Petrol,125,49.6,2.0,Audi
297,A4,2017,16798,Manual,23362,Petrol,145,50.4,1.4,Audi
298,Q5,2013,15998,Manual,50025,Petrol,235,37.7,2.0,Audi
299,Q8,2018,63985,Semi-Auto,8450,Diesel,145,32.8,3.0,Audi
300,A6,2018,27985,Semi-Auto,1790,Diesel,145,50.4,2.0,Audi
301,A4,2018,19485,Semi-Auto,10,Petrol,145,53.3,1.4,Audi
302,A4,2018,20985,Manual,10,Petrol,145,52.3,1.4,Audi
303,A3,2018,22285,Automatic,6754,Diesel,145,52.3,1.6,Audi
304,Q3,2014,14500,Semi-Auto,35423,Diesel,200,47.9,2.0,Audi
305,A3,2017,25000,Semi-Auto,16703,Petrol,200,41.5,2.0,Audi
306,Q3,2017,15800,Manual,37203,Petrol,125,51.4,1.4,Audi
307,A3,2013,13500,Semi-Auto,44405,Diesel,125,58.9,2.0,Audi
308,Q3,2014,12000,Manual,79389,Diesel,165,50.4,2.0,Audi
309,A3,2015,13800,Semi-Auto,61808,Diesel,125,57.6,2.0,Audi
310,A1,2016,11000,Manual,10491,Petrol,0,67.3,1.0,Audi
311,A3,2018,19995,Manual,19000,Petrol,150,49.6,2.0,Audi
312,A1,2016,11650,Manual,18900,Petrol,0,67.3,1.0,Audi
313,A3,2014,11850,Manual,50900,Diesel,20,68.9,2.0,Audi
314,A6,2013,12495,Manual,49000,Diesel,325,29.7,2.0,Audi
315,A1,2015,15995,Manual,23081,Petrol,235,39.8,2.0,Audi
316,Q7,2020,82995,Semi-Auto,826,Diesel,145,29.4,4.0,Audi
317,A4,2019,25990,Semi-Auto,5987,Petrol,145,38.2,2.0,Audi
318,A6,2019,30995,Semi-Auto,2977,Diesel,145,47.9,2.0,Audi
319,Q5,2019,34985,Automatic,7573,Diesel,145,39.2,2.0,Audi
320,Q3,2019,31995,Manual,3055,Diesel,145,42.8,2.0,Audi
321,A4,2019,29985,Automatic,22,Petrol,145,38.7,2.0,Audi
322,A4,2019,28485,Automatic,2250,Diesel,145,51.4,2.0,Audi
323,Q5,2016,21498,Semi-Auto,20547,Diesel,200,47.1,2.0,Audi
324,Q5,2019,32895,Automatic,10,Diesel,145,39.2,2.0,Audi
325,A5,2016,22998,Semi-Auto,18828,Petrol,260,35.8,3.0,Audi
326,Q5,2019,35998,Semi-Auto,28,Petrol,145,32.1,2.0,Audi
327,Q7,2016,29985,Automatic,38654,Diesel,200,47.9,3.0,Audi
328,A3,2014,16485,Manual,25764,Petrol,200,40.4,2.0,Audi
329,TT,2016,19485,Manual,28402,Diesel,30,62.8,2.0,Audi
330,A1,2015,13495,Manual,17152,Petrol,30,56.5,1.4,Audi
331,A3,2016,14995,Manual,29775,Petrol,20,60.1,1.4,Audi
332,Q5,2017,39995,Semi-Auto,7801,Petrol,145,34.0,3.0,Audi
333,Q5,2015,22990,Semi-Auto,60599,Diesel,240,42.8,3.0,Audi
334,A1,2017,12495,Manual,20670,Petrol,30,57.6,1.4,Audi
335,A3,2019,24985,Automatic,2257,Diesel,145,52.3,1.6,Audi
336,A3,2019,24485,Manual,4039,Diesel,145,51.4,1.6,Audi
337,A3,2016,16485,Manual,21241,Petrol,125,52.3,1.4,Audi
338,Q3,2016,20485,Manual,16945,Diesel,160,49.6,2.0,Audi
339,A4,2018,24985,Automatic,18010,Petrol,145,49.6,1.4,Audi
340,A4,2017,19995,Semi-Auto,29653,Diesel,145,62.8,2.0,Audi
341,A5,2014,16000,Semi-Auto,75159,Petrol,260,34.9,3.0,Audi
342,Q3,2014,14998,Semi-Auto,33842,Diesel,200,47.9,2.0,Audi
343,A3,2015,13995,Manual,42977,Diesel,20,67.3,2.0,Audi
344,A4,2019,27990,Semi-Auto,26,Diesel,145,47.9,2.0,Audi
345,A1,2016,11995,Manual,17454,Petrol,0,67.3,1.0,Audi
346,A3,2018,15995,Manual,17547,Petrol,150,56.5,1.5,Audi
347,A3,2020,35995,Semi-Auto,314,Petrol,150,34.9,2.0,Audi
348,A1,2016,13585,Manual,25010,Petrol,30,58.9,1.4,Audi
349,A6,2019,31985,Semi-Auto,3278,Diesel,145,47.9,2.0,Audi
350,A7,2019,32985,Automatic,1285,Diesel,145,39.2,3.0,Audi
351,A6,2019,30985,Automatic,4445,Diesel,145,47.9,2.0,Audi
352,A4,2020,34798,Semi-Auto,6998,Petrol,145,38.2,2.0,Audi
353,A4,2020,40780,Semi-Auto,6746,Diesel,145,45.6,2.0,Audi
354,Q7,2015,34995,Semi-Auto,21245,Diesel,205,47.9,3.0,Audi
355,A4,2017,18995,Manual,27394,Diesel,30,64.2,2.0,Audi
356,A1,2016,12995,Manual,29283,Petrol,0,67.3,1.0,Audi
357,A1,2016,14495,Manual,20905,Petrol,30,56.5,1.4,Audi
358,A1,2017,12995,Manual,24386,Petrol,0,67.3,1.0,Audi
359,TT,2017,24995,Semi-Auto,11621,Petrol,150,42.8,2.0,Audi
360,A3,2019,20985,Semi-Auto,3409,Petrol,145,43.5,1.5,Audi
361,Q5,2016,31995,Semi-Auto,30172,Diesel,240,42.2,3.0,Audi
